dataset,model,accuracy,macro_f1,hate_f1,epochs,batch_size,fp16
VOZ-HSD,xlm-roberta,0.9706,0.8458471861134111,0.7071713147410359,5,8,false
VOZ-HSD,viclsr,0.9486,0.48681104382633683,0.0,2,4,true
